EmployeeNumber,Name,Department,Education,EducationField,JobLevel,JobRole,MonthlyIncome,PerformanceRating,StudentFeedbackPercentage,FeedbackCount,PercentSalaryHike
98160,Haleigh Gogerty,5,4,1,5,10,19529,2,93.88,1,6
565429,Cam Kilian,4,1,2,2,3,35321,4,41.07,1,11
11519,Blisse Colvill,2,1,3,5,5,6618,5,38.35,1,9
283845,Allan Lamblot,5,3,5,1,3,61214,4,46.47,1,8
633502,Mary Verdon,5,3,3,5,5,10035,3,81.59,1,2
428763,Justen Winthrop,5,2,2,2,3,15577,3,75.38,1,1
645359,Giselbert Andreolli,5,5,3,2,7,48841,1,53.24,1,12
739347,Cherise Dilke,2,2,1,1,5,65426,5,52.02,1,20
279451,Braden Stichel,4,4,1,1,2,65078,5,49.25,1,0
214650,Yuri Ivancevic,1,2,3,2,1,16122,5,19.83,1,6
168528,Wenda Ajsik,2,4,5,4,7,17841,1,14.73,1,8
562452,Arabele Tunnicliff,2,1,1,1,6,69629,4,96.34,1,4
328437,Wes Smallsman,5,1,2,1,9,23209,2,92.37,1,11
756662,Marijn Pitcock,2,1,1,4,6,59103,1,59.23,1,0
587701,Reeva Rao,4,1,4,3,7,42731,4,26.72,1,13
876976,Nelson Fritschmann,5,5,3,4,10,2659,5,60.82,1,3
254479,Marylou Dahl,4,2,3,5,1,86720,2,81.02,1,12
876405,Melodee Kullmann,2,5,1,1,2,63085,5,4.42,1,16
779784,Bartholemy Roseman,5,4,4,3,10,59893,2,14.29,1,1
732948,Lianna Roddy,2,2,3,3,5,22615,4,33.88,1,8
709922,Fredericka Harrington,3,2,1,3,9,71107,3,17.37,1,3
576041,Salmon Asgodby,2,1,4,2,5,86365,3,42.83,1,2
822546,Eamon Prandi,2,4,2,5,5,66587,4,34.75,1,8
773913,Daune Livezey,5,2,4,3,9,89466,5,8.33,1,14
142963,Romy Glasspool,5,2,1,3,5,23546,5,51.45,1,16
871978,Clarine Melladew,4,4,3,2,3,7188,1,53.38,1,14
217267,Tam Sumshon,4,4,4,1,7,11199,3,88.26,1,0
105950,Raf Guerro,3,1,1,2,10,17857,3,85.45,1,14
716069,Darelle Heasman,2,3,1,3,6,82699,5,97.79,1,4
630062,Anallise Hale,3,5,1,2,2,2562,3,83.02,1,15
9934,Janos Gitthouse,3,5,2,2,1,28859,1,5.2,1,9
885076,Ty Anfonsi,2,4,3,2,10,111,2,28.37,1,19
813131,Rooney Ludy,4,2,4,5,8,80236,2,25.63,1,16
413971,Lazare Kytley,4,5,2,1,4,83537,5,18.55,1,11
796005,Gottfried Tetford,2,5,4,4,7,25321,5,59.09,1,5
721634,Lorna Karslake,2,5,1,4,6,28299,2,3.23,1,6
789192,Eileen Kingsnorth,5,4,5,3,10,69372,1,68.69,1,9
417659,Andriana Millsap,1,3,2,5,2,46490,1,57.39,1,13
226591,Julie Keggin,4,2,1,3,6,15626,5,92,1,9
618455,Lanita Petegre,5,3,5,2,9,52576,3,21.99,1,8
78929,Cecil Owthwaite,4,2,4,5,9,21109,2,9.19,1,19
700379,Christal Dunsmuir,1,1,1,4,4,54467,1,95.54,1,16
811306,Darcy Morpeth,2,3,5,5,6,23302,3,66.93,1,15
210356,Nannie Dilon,4,1,4,2,2,68776,3,11.92,1,18
687344,Kaylee Pepall,5,1,3,5,7,86111,2,93.92,1,1
810192,Susette Fulton,3,3,2,4,8,67461,2,74.52,1,20
460503,Catharine McCosh,3,4,5,2,9,47568,4,1.37,1,13
43682,Jaclin Wisdom,4,5,2,3,6,23013,2,64.5,1,12
711588,Kurtis Barron,3,3,1,2,6,82061,1,96.63,1,2
18955,Caye Kolakowski,4,5,5,2,5,61469,3,59.5,1,16
455427,Kathi Christofides,5,1,4,3,8,69434,3,30.22,1,17
302751,Faunie Pring,1,5,3,2,1,57935,3,59.73,1,1
874877,Talbot Veck,3,2,1,3,4,1873,1,76.32,1,9
824421,Amelita Lewsey,4,1,5,2,2,57181,2,20.71,1,5
997099,Elspeth Shelmerdine,5,1,3,5,2,82299,3,13.66,1,4
212117,Meara Godwyn,3,3,1,3,5,62587,1,83.27,1,14
291353,Verena Komorowski,2,3,1,3,7,29336,2,19.33,1,19
121509,Helge Hardiman,2,4,4,3,1,33084,3,65.74,1,10
293569,Joellen Barca,2,3,1,2,6,59640,5,11.95,1,13
179018,Patty McMenamie,4,5,5,4,3,72092,1,4.21,1,20
996921,Vasily Martt,5,2,2,1,1,86646,4,4.01,1,13
912891,Maybelle Anster,1,2,4,3,10,85385,4,98.98,1,0
868543,Stu Canti,3,4,5,5,5,1607,3,50.67,1,15
